image,scientific_name,common_name,species_description,image_alt_text
BA.jpg,Baiomys taylori,northern pygmy mouse,"Yes, apparently southeastern Arizona counts as 'northern' for this genus. One of two competitors for title of 'smallest Portal rodent,' <i>B. taylori</i> is currently an infrequent but welcome visitor to the site. As it is primarily a grassland species, individuals caught on the site rarely stay for long. Interestingly, the roughly 8-gram <i>B. taylori</i> is often found in association with cotton rats (<i>Sigmodon</i>), which can weight in excess of 100 grams.","image of Baiomys taylori, a grey-toned mouse, on a brown ground. The mouse is facing the lower right, and takes up the center of the photo with two pink feet in the fore front and its face, wisting so only its right eye is visible"
PB.jpg,Chaetodipus baileyi,Bailey's pocket mouse,"Bailey's pocket mouse made its first appearance on the site in the mid-1990s. It is essentially a giant version of its congeneric relative, the desert pocket mouse (<i>C. penicillatus</i>). While close in size to Merriam's and Ord's kangaroo rats, it is an inferior competitor and, therefore, is found almost solely on kangaroo rat exclosure plots.","image of Chaetodipus baileyi, a brown-toned mouse, on bare ground. The mouse is looking to the left, and its side profile is shown including its prominent nose, left eye, and limbs"
PH.jpg,Chaetodipus hispidus,hispid pocket mouse,"The hispid pocket mouse looks like a cactus mouse in pocket mouse form; it's the size of <i>C. baileyi</i> with a beautiful lateral orange stripe. <i>C. hispidus</i> has historically been the least frequently recorded species at the site. In the past few months, however, we've caught one or two each trapping period. Nevertheless, it remains a very transient speices; each individual caught this year has been caught once and then never seen again.","image of Chaetodipus hispidus, a brown-toned mouse with a distinct orange-yellow stripe on the side of the body, on a rock. The mouse is facing the right, with its eye glancing towards the center of the frame"
PI.jpg,Chaetodipus intermedius,rock pocket mouse,"<i>C. intermedius</i> is another pocket mouse, though very rarely found at the site as it prefers rockier habitats; it is very similar to <i>C. penicillatus</i> except in habitat preference.","image of Chaetodipus intermedius, a dark brown-toned mouse, on a rocky ground. The mouse is facing the left, with its dark eyes, and left hind limb visible"
PP.jpg,Chaetodipus penicillatus,desert pocket mouse,"Although <i>C. penicillatus</i> had been found at the site since the beginning of the study, it didn't become such an important player in the system until the 2000s. Now, this small pocket mouse is one of the main seasonal drivers of total rodent abundance at the site. The population explodes in the summers with known individuals, new adults, and brand new babies alike; they are ubiquitous across the site, regardless of plot type. In the winters, <i>C. penicillatus</i> enters a type of torpor (not quite hibernation), creating a large seasonal fluctuation in abundance.  ","image of Chaetodipus penicillatus, a light brown-toned mouse crouched and on its hind limbs, on bare ground. Most of its right side profile is visible, and it is occupying the center of the photo"
DM.jpg,Dipodomys merriami,Merriam's kangaroo rat,"Kangaroo rats, with their giant hind feet and namesake bipedal movement, are some of the most beloved species at the site. Of the three species in the <i>Dipodomys</i> genus, <i>D. merriami</i> is currently the most abundant and, presumably, dominant in the system.","image of Dipodomys merriami, a brown-toned rodent with shiny fur, on bare ground with some stones and a part of plant. Its full body is visible, including its long tufted tail, and limbs. It is facing the right side of the frame"
DO.jpg,Dipodomys ordii,Ord's kangaroo rat,"Ord's kangaroo rat is nearly indistinguishable from Merriam's kangaroo rat except for a tiny fifth toe on its hind feet that the Merriams lack. <i>D. ordii</i> can be thought of as <i>D. merriami's</i> kid brother who's always aspiring to be like his brother but can't quite keep up; a grass-loving species, <i>D. ordii</i> is often just trailing <i>D. merriami</i> in abundance.","image of Dipodomys ordii, a brown-toned rodent, on bare ground facing the left side of the frame. Its left hind limb is visible, and its dark left eye appears to be looking towards the center"
DS.jpg,Dipodomys spectabilis,banner-tailed kangaroo rat,"The largest of the three kangaroo rats at the site, <i>D. spectabilis</i> (fondly referred to as 'spectabs' by those in the know) is known for its striking tail. It has by far the largest feet on the site at a whopping 48 mm average and often weighs in at over 100 grams, nearly twice the size of the other kangaroo rats. Spectabs were once running the show at Portal. As the site became shrubbier, however, the reign of <i>D. spectabilis</i> came to a slow end in the 1990's. Since then, a few individuals have popped up here and there but haven't stuck around, often heading for grassier pastures.","image of Dipodomys spectabilis, a brown-toned rodent, crouched on bare ground. Its full body is in the frame, including its prominent tail with white tufts. It is facing the left, with the left hind limb and a part of the right hind limb visible"
NA.jpg,Neotoma albigula,white-throated woodrat,"Along with being by far the largest rodent species at the site (my, what big teeth you have...), <i>Neotoma albigula</i> also has a big reputation---roughly 200 grams worth. Woodrats are quite different ecologically from the rest of the species at the site. Unlike the majority of our rodents which are granivorous, <i>N. albigula</i> is primarily a foliovore. (The resident woodrat in our ramada, however, seems to eat just about anything.) Woodrats---also commonly known as packrats---build middens, or large nests, out of sticks and any 'interesting' debris they can get their paws on. While their numbers at the site aren't prolific, research assistants know exactly which kangaroo rat exclosure plots this species tends to inhabit and secretly wish they'd brought leather gloves with them.","image of Neotoma albigula, a relatively large, brown-toned rodent,  on a ground, in front a shrub. It is facing the left frame, showing a prominently big (left) ear and a thick tail"
OL.jpg,Onychomys leucogaster,northern grasshopper/scorpion mouse,"Amongst smammal enthusiasts such as ourselves, the carnivorous grasshopper mice (<i>Onychomys</i> genus) are legendary. Their name(s) and [this video](https://www.youtube.com/watch?v=ohd_mSIWTXk) basically say it all. In addition to eating insects and scorpions, they have been known to eat venomous centipedes and even other mice. Both species also have a distinctive high-pitched 'howl' when defending their territory. Mighty though they are, both species, and <i>O. leucogaster</i> in particular, have hilariously short tails. For unknown reasons, the northern grasshopper mouse is less common at the site than the southern.","image of Onychomys leucogaster, a grey-toned rodent, on stony ground. It appears to be scurrying away, with its short tail slightly elevated, and its hind limbs visible"
OT.jpg,Onychomys torridus,southern grasshopper/scorpion mouse,"Aside from overall range, the southern species differs little from the northern (<i>O. leucogaster</i>) except for a slightly longer tail and somewhat more elongated appearance. This species is more abundant at the site and can be found in all plot types.","image of Onychomys torridus, a grey-toned rodent, that is scruffed with its underbelly and left facial profile visible. Behind it is a fence with trap box filled with Sherman traps"
PF.jpg,Perognathus flavus,silky pocket mouse,"<i>Perognathus flavus</i> rivals only <i>Baiomys taylorii</i> for the title of smallest rodent at our site, weighing between 5 and 10 grams. Tiny, beautiful, and immensely soft, this aptly named silky pocket mouse is a favorite of previous and current research assistants alike. Its relatively low abundance and recent rarity makes it an especially exciting catch.","image of Perognathus flavus, a light brown-toned small rodent,  on stony ground surrounded by few grass. It is facing the left side of the frame, showing its left side profile, including its dark-colored left eye, small ear with a white patch behind it"
PE.jpg,Peromyscus eremicus,cactus mouse,"Often having a bold lateral orange stripe, the cactus mouse is one of the most colorful and striking mice at Portal. It is also the most commonly found <i>Peromyscus</i> species at the site, usually found in kangaroo rat exclosures and incidentally in the full removal plots. Unlike the white-footed mouse and deer mouse, however, it is mainly restricted to the deserts in the American Southwest and northern Mexico.","image of Peromyscus eremicus, a light brown-toned rodent, crouched on top of a structure that looks like an open Sherman trap, that is in front of a rod/pole. It is facing the right side of the frame with its large ears and its tail raised"
PL.jpg,Peromyscus leucopus,white-footed mouse,"This <i>Peromyscus</i> species, while very common throughout the majority of the United States, is not all that common at Portal. <i>Peromyscus</i> are good climbers and, therefore, frequently end up in the full rodent exclosure plots.","image of Peromyscus leucopus, a dark brown-toned rodent, crouched on the ground with some dead leaves. It is facing the right side of the frame, with its head and body taking up most of the photo"
PM.jpg,Peromyscus maniculatus,deer mouse,"Like <i>P. leucopus</i>, <i>P. maniculatus</i> is nearly ubiquitous throughout the continental United States but is not a particularly common resident at the site. The desert variants of these two species are challenging to distinguish between, adding a fun challenge to trapping.","image of Peromyscus maniculatus, a light brown-toned rodent, in a slightly upright position with its left fore limb raised. It is facing the left, with its ears perked up. At the lower left corner is a green container on its side with feed coming out of it"
RF.jpg,Reithrodontomys fulvescens,fulvous harvest mouse,"The fulvous harvest mouse is an infrequent visitor to the site. It is the largest---and the rarest---harvest mouse species found at the site. Like many of the <i>Reithrodontomys</i> caught at the site, it is most often found in kangaroo rat exclosures and full rodent removals.","image of Reithrodontomys fulvescens, a brown-toned rodent, scruffed, with its right side profile, including its white underbelly, visible. Behind is a blurry view of green vegetation"
RM.jpg,Reithrodontomys megalotis,western harvest mouse,"<i>R. megalotis</i> is the most common harvest mouse found at Portal. Harvest mice abundance tends to remain fairly low throughout the site, though there is sometimes an increase in the winter when the desert pocket mice (<i>C. penicillatus</i>) are in torpor.","image of Reithrodontomys megalotis, a light brown-toned rodent, facing the front with its entirety in the photo. Its tail lays flat on the stony ground, and its left hind limb is visible"
